All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
T8,GPIO122,,GPIO122,,,EMIF2_D15,GPIO122,,SPIC_SIMO,SD1_D1,GPIO122,,ESC_GPI22,,GPIO122,,ENET_MII_TX_DATA1,
U8,GPIO123,,GPIO123,,,EMIF2_D14,GPIO123,,SPIC_SOMI,SD1_C1,GPIO123,,ESC_GPI23,,GPIO123,,ENET_MII_TX_DATA2,
V8,GPIO124,,GPIO124,,,EMIF2_D13,GPIO124,,SPIC_CLK,SD1_D2,GPIO124,,ESC_GPI24,,GPIO124,,ENET_MII_TX_DATA3,
T9,GPIO125,,GPIO125,,,EMIF2_D12,GPIO125,,SPIC_STEn,SD1_C2,GPIO125,,ESC_GPI25,,GPIO125,FSIRXE_D1,ESC_LATCH0,
U9,GPIO126,,GPIO126,,,EMIF2_D11,GPIO126,,,SD1_D3,GPIO126,,ESC_GPI26,,GPIO126,FSIRXE_CLK,ESC_LATCH1,
V9,GPIO127,,GPIO127,,,EMIF2_D10,GPIO127,,,SD1_C3,GPIO127,,ESC_GPI27,,GPIO127,,ESC_SYNC0,
W9,GPIO128,,GPIO128,,,EMIF2_D9,GPIO128,,,SD1_D4,GPIO128,,ESC_GPI28,,GPIO128,,ESC_SYNC1,
T10,GPIO129,,GPIO129,,,EMIF2_D8,GPIO129,,,SD1_C4,GPIO129,,ESC_GPI29,,GPIO129,,ESC_TX1_ENA,
U10,GPIO130,,GPIO130,,,EMIF2_D7,GPIO130,,,SD2_D1,GPIO130,,ESC_GPI30,,GPIO130,,ESC_TX1_CLK,
V10,GPIO131,,GPIO131,,,EMIF2_D6,GPIO131,,,SD2_C1,GPIO131,,ESC_GPI31,,GPIO131,,ESC_TX1_DATA0,
T11,GPIO30,,GPIO30,CANA_RX,EMIF1_CLK,MCAN_RX,GPIO30,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO30,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO30,EPWM16A,ESC_SYNC1,SPID_SIMO
V11,GPIO28,,GPIO28,SCIA_RX,EMIF1_CS4n,,GPIO28,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO28,EMIF1_CS2n,,,GPIO28,EPWM15A,,FSIRXH_D1
